setId,setName,setTotal,releaseOrder,description,setType
23-FEB-III,2023.February-III,3,230207,ワンカラーニット,S
23-FEB-IV,2023.February-IV,3,230208,ファーベスト,S
23-FEB-V,2023.February-V,3,230209,カラーロングカーディガン,S
GRAD-MANATSU,秋元真夏卒業コンサートTシャツ,3,230210,,S
31ST-UNDER,悪い成分,3,230301,,S
23-MAR-I,2023.March,3,230302,ビッグボーダー,S
23-MAR-II,2023.March-II,3,230303,ファーニット,S
23-MAR-III,2023.March-III,3,230304,ソートーントップス,S
23-APR-I,2023.April,3,230401,スペシャル衣装36,S
32ND-MV,人は夢を二度見る 選抜ver.,5,230402,,V
32ND-5GEN,心にもないこと,5,230403,,V
23-APR-II,2023.April-II,3,230404,トラディショナル,S
23-APR-III,2023.April-III,4,230405,紅白2022衣装,C
GRAD-ASUKA,齋藤飛鳥卒業コンサートTシャツ,3,230501,,S
23-MAY-I,2023.May,3,230502,スペシャル衣装37,S
23-MAY-II,2023.May-II,3,230503,フロントレースアップ,S
23-MAY-III,2023.May-III,3,230504,ビビットパーカー,S
23-MAY-V,2023.May-IV,3,230505,チュニック,S
23-JUN-I,2023.June,3,230601,11thBDライブ衣装,S
23-JUN-II,2023.June-II,3,230602,11thBDライブ期別衣装,S
23-JUN-III,2023.June-III,3,230603,チュール,S
23-JUL-I,2023.July,3,230701,真夏の全国ツアー2023 Tシャツ Aver.,S
23-JUL-II,2023.July-II,5,230702,浴衣,K
23-JUL-III,2023.July-III,3,230703,リボンモチーフ,S
23-HOKKAIDO,nogizaka SummerTour 2023 HOKKAIDO,3,230704,緑x白コーデ,S
32ND,人は夢を二度見る,3,230705,,S
32ND-UNDER,さざ波は戻らない,3,230706,,S
